"Gene start (bp)"	"Gene end (bp)"	"HGNC symbol"	"Gene stable ID version"	"Gene stable ID"	"Chromosome/scaffold name"
30021043	30024386	"HLA-A"	"ENSG00000227715.11"	"ENSG00000227715"	"CHR_HSCHR6_MHC_MCF_CTG1"
31346626	31433637	"HLA-B"	"ENSG00000232126.8"	"ENSG00000232126"	"CHR_HSCHR6_MHC_MCF_CTG1"
31345885	31349256	"HLA-C"	"ENSG00000225691.7"	"ENSG00000225691"	"CHR_HSCHR6_MHC_MCF_CTG1"
30567930	30572668	"HLA-E"	"ENSG00000225201.6"	"ENSG00000225201"	"CHR_HSCHR6_MHC_MCF_CTG1"
29719887	29722948	"HLA-F"	"ENSG00000234487.11"	"ENSG00000234487"	"CHR_HSCHR6_MHC_MCF_CTG1"
29823845	29828003	"HLA-G"	"ENSG00000237216.8"	"ENSG00000237216"	"CHR_HSCHR6_MHC_MCF_CTG1"
29879004	29881726	"HLA-H"	"ENSG00000247700.4"	"ENSG00000247700"	"CHR_HSCHR6_MHC_MCF_CTG1"
32877612	32913027	"PSMB9"	"ENSG00000240508.7"	"ENSG00000240508"	"CHR_HSCHR6_MHC_MCF_CTG1"
33470037	33484728	"TAPBP"	"ENSG00000206208.11"	"ENSG00000206208"	"CHR_HSCHR6_MHC_MCF_CTG1"
31972402	31993060	"C4A"	"ENSG00000206340.10"	"ENSG00000206340"	"CHR_HSCHR6_MHC_QBL_CTG1"
30870550	30889733	"DDR1"	"ENSG00000215522.11"	"ENSG00000215522"	"CHR_HSCHR6_MHC_QBL_CTG1"
29930625	29999286	"HLA-A"	"ENSG00000206505.13"	"ENSG00000206505"	"CHR_HSCHR6_MHC_QBL_CTG1"
31259328	31347305	"HLA-B"	"ENSG00000206450.11"	"ENSG00000206450"	"CHR_HSCHR6_MHC_QBL_CTG1"
31258588	31261959	"HLA-C"	"ENSG00000206452.10"	"ENSG00000206452"	"CHR_HSCHR6_MHC_QBL_CTG1"
30478970	30483708	"HLA-E"	"ENSG00000206493.7"	"ENSG00000206493"	"CHR_HSCHR6_MHC_QBL_CTG1"
29720222	29735978	"HLA-F"	"ENSG00000206509.13"	"ENSG00000206509"	"CHR_HSCHR6_MHC_QBL_CTG1"
29824140	29828314	"HLA-G"	"ENSG00000206506.10"	"ENSG00000206506"	"CHR_HSCHR6_MHC_QBL_CTG1"
29879033	29881754	"HLA-H"	"ENSG00000227296.4"	"ENSG00000227296"	"CHR_HSCHR6_MHC_QBL_CTG1"
31805699	31808181	"HSPA1A"	"ENSG00000215328.6"	"ENSG00000215328"	"CHR_HSCHR6_MHC_QBL_CTG1"
32772831	32808281	"PSMB9"	"ENSG00000243594.7"	"ENSG00000243594"	"CHR_HSCHR6_MHC_QBL_CTG1"
33228522	33243221	"TAPBP"	"ENSG00000206281.11"	"ENSG00000206281"	"CHR_HSCHR6_MHC_QBL_CTG1"
29930538	29999232	"HLA-A"	"ENSG00000223980.10"	"ENSG00000223980"	"CHR_HSCHR6_MHC_SSTO_CTG1"
31262912	31350932	"HLA-B"	"ENSG00000228964.10"	"ENSG00000228964"	"CHR_HSCHR6_MHC_SSTO_CTG1"
31262172	31265564	"HLA-C"	"ENSG00000206435.10"	"ENSG00000206435"	"CHR_HSCHR6_MHC_SSTO_CTG1"
30481701	30486439	"HLA-E"	"ENSG00000230254.7"	"ENSG00000230254"	"CHR_HSCHR6_MHC_SSTO_CTG1"
29720539	29736235	"HLA-F"	"ENSG00000229698.11"	"ENSG00000229698"	"CHR_HSCHR6_MHC_SSTO_CTG1"
29824463	29828635	"HLA-G"	"ENSG00000233095.8"	"ENSG00000233095"	"CHR_HSCHR6_MHC_SSTO_CTG1"
29879053	29881769	"HLA-H"	"ENSG00000237218.3"	"ENSG00000237218"	"CHR_HSCHR6_MHC_SSTO_CTG1"
32934853	32970271	"PSMB9"	"ENSG00000243958.7"	"ENSG00000243958"	"CHR_HSCHR6_MHC_SSTO_CTG1"
142706945	142708391	"MTRNR2L6"	"ENSG00000282017.1"	"ENSG00000282017"	"CHR_HSCHR7_2_CTG6"
143017982	143023832	"LY6E"	"ENSG00000278032.2"	"ENSG00000278032"	"CHR_HSCHR8_4_CTG7"
109624244	109733403	"ACSL4"	"ENSG00000068366.21"	"ENSG00000068366"	"X"
72301638	72307187	"CITED1"	"ENSG00000125931.11"	"ENSG00000125931"	"X"
154348524	154374634	"FLNA"	"ENSG00000196924.19"	"ENSG00000196924"	"X"
71212811	71225516	"GJB1"	"ENSG00000169562.13"	"ENSG00000169562"	"X"
120426148	120469365	"LAMP2"	"ENSG00000005893.16"	"ENSG00000005893"	"X"
142202342	142205290	"MAGEC2"	"ENSG00000046774.10"	"ENSG00000046774"	"X"
55181392	55182442	"MTRNR2L10"	"ENSG00000256045.3"	"ENSG00000256045"	"X"
55220346	55224108	"PAGE5"	"ENSG00000158639.13"	"ENSG00000158639"	"X"
49171898	49175235	"PLP2"	"ENSG00000102007.11"	"ENSG00000102007"	"X"
23783173	23786210	"SAT1"	"ENSG00000130066.17"	"ENSG00000130066"	"X"
38149336	38220924	"SRPX"	"ENSG00000101955.15"	"ENSG00000101955"	"X"
47582408	47586789	"TIMP1"	"ENSG00000102265.12"	"ENSG00000102265"	"X"
120258650	120311556	"TMEM255A"	"ENSG00000125355.16"	"ENSG00000125355"	"X"
107713221	107777342	"TSC22D3"	"ENSG00000157514.18"	"ENSG00000157514"	"X"
53082367	53088540	"TSPYL2"	"ENSG00000184205.14"	"ENSG00000184205"	"X"
2841602	2932000	"RPS4Y1"	"ENSG00000129824.16"	"ENSG00000129824"	"Y"
